"UserName","UserEmail","TotalCommits","AICommits","HumanCommits","AILinesAdded","HumanLinesAdded","TotalLinesAdded","AIPercentage","AvgConfidenceScore","Tier1Commits","Tier2Commits","Tier3Commits","Tier4Commits","Tier5Commits"
"Rohini-Microsoft",,"18","0","18","0","297","297","0","0","0","0","0","0","0"
"Avijit-Microsoft",,"2","0","2","0","1","1","0","0","0","0","0","0","0"
"zihuq-msft",,"1","0","1","0","337","337","0","0","0","0","0","0","0"
"Prekshith-Microsoft",,"2","0","2","0","2","2","0","0","0","0","0","0","0"
"Martyna Marcinkowska",,"1","0","1","0","1533","1533","0","0","0","0","0","0","0"
"Zohar Tauber",,"1","0","1","0","2","2","0","0","0","0","0","0","0"
"nitin-neural",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"Prashant-Microsoft",,"1","0","1","0","15","15","0","0","0","0","0","0","0"
"Rafi-Microsoft",,"3","0","3","0","467","467","0","0","0","0","0","0","0"
"microsoft-github-operations[bot]",,"1","0","1","0","398","398","0","0","0","0","0","0","0"
"dependabot[bot]",,"291","0","291","0","5171","5171","0","0","0","0","0","0","0"
"Microsoft Open Source",,"7","0","7","0","254","254","0","0","0","0","0","0","0"
"Komal Grover",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"gpickett",,"1","0","1","0","5709","5709","0","0","0","0","0","0","0"
"gmndrg",,"54","0","54","0","260","260","0","0","0","0","0","0","0"
"Devendra-Microsoft",,"1","0","1","0","44","44","0","0","0","0","0","0","0"
"leonavevor",,"2","0","2","0","26","26","0","0","0","0","0","0","0"
"Chinedum Echeta",,"64","2","62","1845","9089","10934","16.87","80.5","0","0","1","1","0"
,,"174","16","158","143801","25400","169201","84.99","99.06","15","0","1","0","0"
"VishalS-Microsoft",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"Reecha",,"1","0","1","0","35","35","0","0","0","0","0","0","0"
"Fabrizio Ruocco",,"102","2","100","387","12705","13092","2.96","81","0","1","0","0","1"
"TCappabianca01",,"1","0","1","0","2","2","0","0","0","0","0","0","0"
"waquas9248",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"Clemens Siebler",,"28","2","26","61","970","1031","5.92","68","0","0","0","1","1"
"aahill",,"2","0","2","0","2","2","0","0","0","0","0","0","0"
"Kanchan-Microsoft",,"1","0","1","0","69","69","0","0","0","0","0","0","0"
"Arpit Gaur",,"10","0","10","0","471","471","0","0","0","0","0","0","0"
"Ignacio Floristan",,"3","0","3","0","219","219","0","0","0","0","0","0","0"
"Roopan-Microsoft",,"10","0","10","0","1371","1371","0","0","0","0","0","0","0"
