"UserName","UserEmail","TotalCommits","AICommits","HumanCommits","AILinesAdded","HumanLinesAdded","TotalLinesAdded","AIPercentage","AvgConfidenceScore","Tier1Commits","Tier2Commits","Tier3Commits","Tier4Commits","Tier5Commits"
"Rafi-Microsoft",,"5","0","5","0","228","228","0","0","0","0","0","0","0"
"toherman_microsoft",,"7","1","6","80733","207","80940","99.74","98","0","1","0","0","0"
"Vishal Shinde (Persistent Systems Inc)",,"3","0","3","0","25","25","0","0","0","0","0","0","0"
"Todd Herman",,"3","0","3","0","0","0","0","0","0","0","0","0","0"
"Harmanpreet-Microsoft",,"43","0","43","0","901","901","0","0","0","0","0","0","0"
"Prajwal-Microsoft",,"54","0","54","0","11","11","0","0","0","0","0","0","0"
"Thanusree-Microsoft",,"6","0","6","0","7","7","0","0","0","0","0","0","0"
"Prajwal D C",,"29","0","29","0","53780","53780","0","0","0","0","0","0","0"
"NirajC-Microsoft",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"Kingshuk-Microsoft",,"14","0","14","0","2432","2432","0","0","0","0","0","0","0"
"Abdul-Microsoft",,"1","0","1","0","29","29","0","0","0","0","0","0","0"
"Harsh-Microsoft",,"24","0","24","0","1278","1278","0","0","0","0","0","0","0"
"Kanchan-Microsoft",,"2","0","2","0","579","579","0","0","0","0","0","0","0"
"Niraj Chaudhari (Persistent Systems Inc)",,"5","0","5","0","38","38","0","0","0","0","0","0","0"
"Roopan-Microsoft",,"192","0","192","0","13","13","0","0","0","0","0","0","0"
"dependabot[bot]",,"151","0","151","0","17640","17640","0","0","0","0","0","0","0"
"Vamshi-Microsoft",,"6","0","6","0","109","109","0","0","0","0","0","0","0"
"Ragini-Microsoft",,"1","0","1","0","3","3","0","0","0","0","0","0","0"
"Microsoft Open Source",,"5","0","5","0","129","129","0","0","0","0","0","0","0"
"Harmanpreet Kaur",,"34","0","34","0","4428","4428","0","0","0","0","0","0","0"
"Roopan P M",,"2","0","2","0","0","0","0","0","0","0","0","0","0"
"Avijit-Microsoft",,"11","0","11","0","0","0","0","0","0","0","0","0","0"
"Ritesh",,"7","0","7","0","230","230","0","0","0","0","0","0","0"
"Atulku-Microsoft",,"15","0","15","0","112","112","0","0","0","0","0","0","0"
"Graeme Foster",,"1","0","1","0","1","1","0","0","0","0","0","0","0"
"Ayaz-Microsoft",,"1","0","1","0","609","609","0","0","0","0","0","0","0"
"microsoft-github-operations[bot]",,"1","0","1","0","398","398","0","0","0","0","0","0","0"
"DB Lee",,"3","0","3","0","2","2","0","0","0","0","0","0","0"
"Priyanka Singhal (Persistent Systems Inc)",,"3","0","3","0","9","9","0","0","0","0","0","0","0"
"Johnson Tseng",,"1","0","1","0","10","10","0","0","0","0","0","0","0"
,,"61","0","61","0","12402","12402","0","0","0","0","0","0","0"
"Priyanka-Microsoft",,"9","0","9","0","3584","3584","0","0","0","0","0","0","0"
"Bangarraju-Microsoft",,"5","0","5","0","144","144","0","0","0","0","0","0","0"
"Prasanjeet-Microsoft",,"25","0","25","0","2607","2607","0","0","0","0","0","0","0"
"aniaroramsft",,"2","0","2","0","0","0","0","0","0","0","0","0","0"
"Venkateswarlu Marthula",,"16","0","16","0","19964","19964","0","0","0","0","0","0","0"
"copilot-swe-agent[bot]",,"2","0","2","0","1","1","0","0","0","0","0","0","0"
"pradeepjha-microsoft",,"50","0","50","0","797","797","0","0","0","0","0","0","0"
"VishalS-Microsoft",,"3","0","3","0","10","10","0","0","0","0","0","0","0"
"Rohini-Microsoft",,"5","0","5","0","60","60","0","0","0","0","0","0","0"
"Vemarthula-Microsoft",,"1","0","1","0","2","2","0","0","0","0","0","0","0"
"Prekshith D J (Persistent Systems Inc)",,"26","0","26","0","14460","14460","0","0","0","0","0","0","0"
