"UserName","UserEmail","TotalCommits","AICommits","HumanCommits","AILinesAdded","HumanLinesAdded","TotalLinesAdded","AIPercentage","AvgConfidenceScore","Tier1Commits","Tier2Commits","Tier3Commits","Tier4Commits","Tier5Commits"
"Prashant-Microsoft",,"3","0","3","0","29","29","0","0","0","0","0","0","0"
"Priyanka Singhal (Persistent Systems Inc)",,"28","0","28","0","771","771","0","0","0","0","0","0","0"
"Thanusree-Microsoft",,"23","0","23","0","147","147","0","0","0","0","0","0","0"
"VishalS-Microsoft",,"10","0","10","0","297","297","0","0","0","0","0","0","0"
"Avijit-Microsoft",,"19","0","19","0","1","1","0","0","0","0","0","0","0"
"Himanshi-Mirosoft",,"2","0","2","0","2","2","0","0","0","0","0","0","0"
"Niraj Chaudhari (Persistent Systems Inc)",,"22","1","21","106","280","386","27.46","63","0","0","0","0","1"
"Somesh Joshi",,"4","1","3","35","62","97","36.08","63","0","0","0","0","1"
"Venkateswarlu Marthula",,"8","0","8","0","427","427","0","0","0","0","0","0","0"
"Atulku-Microsoft",,"4","0","4","0","13","13","0","0","0","0","0","0","0"
"Ragini-Microsoft",,"33","0","33","0","1907","1907","0","0","0","0","0","0","0"
"Shreyas-Microsoft",,"9","1","8","96","126","222","43.24","73","0","0","0","1","0"
"malrose07",,"2","0","2","0","0","0","0","0","0","0","0","0","0"
"Priyanka-Microsoft",,"26","0","26","0","10288","10288","0","0","0","0","0","0","0"
"Abdul-Microsoft",,"7","0","7","0","659","659","0","0","0","0","0","0","0"
"copilot-swe-agent[bot]",,"2","0","2","0","1","1","0","0","0","0","0","0","0"
"Prekshith D J (Persistent Systems Inc)",,"5","0","5","0","721","721","0","0","0","0","0","0","0"
"Microsoft Open Source",,"5","0","5","0","129","129","0","0","0","0","0","0","0"
,,"207","0","207","0","24292","24292","0","0","0","0","0","0","0"
"Kiran Siluveru",,"2","0","2","0","87","87","0","0","0","0","0","0","0"
"Mohan-Microsoft",,"1","0","1","0","0","0","0","0","0","0","0","0","0"
"Vamshi-Microsoft",,"19","0","19","0","3778","3778","0","0","0","0","0","0","0"
"Kanchan-Microsoft",,"10","0","10","0","126","126","0","0","0","0","0","0","0"
"Mohan Venudass",,"1","0","1","0","121","121","0","0","0","0","0","0","0"
"Rohini-Microsoft",,"10","0","10","0","380","380","0","0","0","0","0","0","0"
"Rafi-Microsoft",,"5","0","5","0","212","212","0","0","0","0","0","0","0"
"Todd Herman",,"6","0","6","0","13","13","0","0","0","0","0","0","0"
"aniaroramsft",,"1","0","1","0","0","0","0","0","0","0","0","0","0"
"Bangarraju-Microsoft",,"17","1","16","701","8968","9669","7.25","73","0","0","0","1","0"
"NirajC-Microsoft",,"1","0","1","0","3","3","0","0","0","0","0","0","0"
"Harmanpreet-Microsoft",,"18","0","18","0","263","263","0","0","0","0","0","0","0"
"dependabot[bot]",,"123","0","123","0","37549","37549","0","0","0","0","0","0","0"
"Kingshuk-Microsoft",,"13","0","13","0","645","645","0","0","0","0","0","0","0"
"microsoft-github-policy-service[bot]",,"1","0","1","0","41","41","0","0","0","0","0","0","0"
"UtkarshMishra-Microsoft",,"36","0","36","0","2453","2453","0","0","0","0","0","0","0"
"Vishal Shinde (Persistent Systems Inc)",,"5","0","5","0","89","89","0","0","0","0","0","0","0"
"Dhruvkumar-Microsoft",,"1","0","1","0","2","2","0","0","0","0","0","0","0"
"Roopan-Microsoft",,"333","0","333","0","1261","1261","0","0","0","0","0","0","0"
"Prasanjeet-Microsoft",,"10","0","10","0","5816","5816","0","0","0","0","0","0","0"
"Himanshi Agrawal",,"3","0","3","0","45","45","0","0","0","0","0","0","0"
"blessing-sanusi",,"37","0","37","0","5590","5590","0","0","0","0","0","0","0"
"Roopan P M",,"29","0","29","0","4801","4801","0","0","0","0","0","0","0"
"Vinay-Microsoft",,"2","0","2","0","0","0","0","0","0","0","0","0","0"
"Pavan-Microsoft",,"10","0","10","0","44","44","0","0","0","0","0","0","0"
"Ritesh",,"3","0","3","0","720","720","0","0","0","0","0","0","0"
"Ajit Padhi",,"91","0","91","0","58670","58670","0","0","0","0","0","0","0"
"adesousa_microsoft",,"50","1","49","42412","1502","43914","96.58","98","0","1","0","0","0"
"Prajwal D C",,"5","0","5","0","68","68","0","0","0","0","0","0","0"
"toherman_microsoft",,"5","0","5","0","525","525","0","0","0","0","0","0","0"
"Kanchan Nagshetti (Persistent Systems Inc)",,"3","0","3","0","42","42","0","0","0","0","0","0","0"
"Prajwal-Microsoft",,"53","0","53","0","71","71","0","0","0","0","0","0","0"
"Andrew Desousa",,"44","0","44","0","53","53","0","0","0","0","0","0","0"
"Malory Rose",,"7","0","7","0","1538","1538","0","0","0","0","0","0","0"
"github-actions[bot]",,"3","0","3","0","0","0","0","0","0","0","0","0","0"
"Harsh-Microsoft",,"84","0","84","0","26293","26293","0","0","0","0","0","0","0"
"Harmanpreet Kaur",,"29","0","29","0","4896","4896","0","0","0","0","0","0","0"
"James Hunter",,"39","0","39","0","3198","3198","0","0","0","0","0","0","0"
"microsoft-github-operations[bot]",,"1","0","1","0","3","3","0","0","0","0","0","0","0"
"Vemarthula-Microsoft",,"3","0","3","0","5","5","0","0","0","0","0","0","0"
"Vinay Sharma",,"2","0","2","0","0","0","0","0","0","0","0","0","0"
